Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes
34.4,140.2,13.3,8.8,3.6,147.6,0
41.6,134.8,13.6,8.4,2.9,140.5,0
42.1,158.5,22.3,11.1,6.1,165.6,0
45.8,137.3,13.1,8.1,1.6,142.8,0
47.2,140.7,8.8,6.7,0.9,149.7,0
36.5,148.4,19.8,9.2,2.5,156.5,1
64.2,141.7,10.4,9.2,2.9,148.6,0
72.2,134.2,12.8,11.2,4.5,139.2,0
71.4,149.2,20.6,9,3,153.5,1
58.8,149.3,7.8,7.9,1.5,158.6,0
37.5,153.8,20.4,9.1,4.8,155.2,1
44,145.1,9.4,7.9,4.9,147,0
41.6,124.8,11.4,9.7,5.6,128.9,0
35.6,118.4,7.2,9.8,6,120.5,0
55.1,146.3,11.8,7.5,4,149.3,1
47.8,156.2,17.2,5.7,2.5,155.9,1
53.3,156.5,18.6,6.5,3.7,157,1
46.3,146.1,21.8,9.7,5.9,151.1,0
48.3,158.3,16.9,6.8,3.7,159.4,1
25.3,118.9,17.4,9.1,5.4,122.2,0
45.9,147.9,5.3,8.6,6.2,148.2,0
29.1,98.3,10.8,10.2,7.1,99.6,0
29.9,132.8,10.7,8.9,4.7,137.2,0
60.7,151.3,8.5,10.9,7.3,158.9,0
37.6,122.5,23.3,11.1,7.6,124.9,0
49.8,145.3,13.2,9.9,7,148.3,0
26.1,113.2,4.4,9.1,5,114.7,0
41.6,132.5,4.7,7.6,4.7,135.5,0
41.5,154.1,13.6,11.2,7.3,156.8,0
34.5,134.3,8.7,6.8,4.1,137.4,0
20.8,144.9,10.5,11,6.7,147.3,0
27.6,118.9,6.7,6.6,2.2,124.5,0
49.5,127.1,13.3,8.6,5.5,128.6,0
53.8,149.2,8.3,11.7,8.4,155.5,0
47,141.5,-0.6,9.7,5.8,144.8,0
57.1,150.2,18,8.3,5.5,153.3,0
31.3,161.3,3.3,5.2,1.5,165.4,0
57.1,145.7,4.3,8.7,6,147.2,0
45.6,150.3,4.3,12.8,10.1,154.4,0
51.1,109.8,12.2,10.1,6.9,114.9,0
49.3,160.8,5.5,13.6,10.6,163.5,0
61.9,171.2,12.2,11.1,7.7,176.2,0
50.8,141.4,7.5,9.4,5.7,147.2,0
28.7,113,7.8,6.6,3.5,116.3,0
17.4,133.2,5.9,7.7,3.9,139.6,0
39.9,146.3,16.8,9.7,6.4,149.8,0
50.3,128.9,7.4,7.6,3.5,133.8,0
48.3,151.5,6.4,8.6,5.2,155.4,0
28.9,116.5,20.7,11.8,7.4,119.7,0
57.9,162.9,12.9,8.8,5.1,170.1,1
50.5,138.1,9.6,10.1,4.1,143.5,0
54.2,159.5,21.9,14,8.2,167,0
65.8,155.8,15.4,12.4,6.2,160.7,0
47.7,132,16.6,11.1,5.5,135.6,0
51.4,167,7,12.7,6.7,173.7,0
48.1,140.6,15.3,10.6,4.5,150.6,0
54,137.2,10.2,12,5.9,142.1,0
61.6,168.8,16.2,12.5,5.8,176.4,0
52.5,131.7,10.4,12,6.4,137.2,0
77.1,140.9,16.6,14.1,7.9,148.4,0
32.3,115.4,12,6,0.3,120.9,0
46.7,132.7,12.3,9.5,3.2,135.3,0
45.9,147,14,11.5,5.2,152.2,0
37.9,124.4,11.4,10.5,3.8,132,0
71,160.2,8.2,9,2.5,166.1,0
61.7,160.4,21.2,11.8,6.6,166.8,0
38,140.7,11.1,9.9,4.1,147.3,0
39.4,117.9,12.7,10.5,3.8,122.8,0
48,134.7,11.8,10,4.4,139.4,0
56.1,137.2,16.9,12.6,5.9,144.8,0
33.8,137,11.5,7.1,1.6,145.3,0
33.4,140.8,21.1,11.4,4.8,144.1,0
56.7,128.6,10.8,8.5,2.1,132.9,0
35.2,141.4,23.3,11,4.7,145.9,0
45.1,125.9,20.5,13.1,6.8,130.6,0
48.6,135,15.4,13.8,8.3,141.5,0
48.7,149.1,10.9,14,7.1,153.6,0
70.3,159,9.1,12.5,6.2,163.8,0
46.1,137,12,10.6,4.2,144.2,0
52.9,140,15.6,8.7,3.6,149.6,1
37.3,152.3,17.9,10.9,4.5,160.2,0
26.6,140.2,15.8,10.5,3.2,145.2,1
53.7,147.5,16.4,12.5,7.2,152.9,0
60.8,120.2,11.9,11.8,5.7,125.1,0
62,149.3,16.6,8.7,3.9,154.8,1
45.2,141,21.9,12.5,5.9,147.7,0
58.9,147.8,15,11.1,5.2,152.4,0
51.1,144.6,21.6,9,3.3,150,1
72.7,128.8,5.6,11.6,5.9,136,0
57.9,142.6,13.7,11.1,4,148.4,0
39.9,161.2,9.3,9.8,6.2,164,0
37.1,148.2,14.9,9.8,6.6,153.7,0
45,166,11.6,5.1,1.2,170.7,1
63.7,167.5,13,7.8,3.9,170.3,1
40,118.9,14.7,9.5,6,123.2,0
51.4,111.3,7.1,4.3,1.2,116.9,0
42.5,148.5,11.4,11.7,8.5,150,0
32.6,110.8,9.8,9.3,6.5,114.2,0
50.6,153.7,26.6,11.2,7.3,158,0
45.8,110.3,15.2,9,5.9,113.2,0
